id,name,projectName,tags,description,vizportalUrlId,url,img_url
001fd1d1-d089-b5de-b09f-122b22d8a4cc,Lead Velocity,Sandbox,[],,1070247,https://us-east-1.online.tableau.com/#/site/globalizationpartners/workbooks/1070247/views,https://us-east-1.online.tableau.com/vizportal/api/rest/v1/workbooks/1070247/thumbnail
00207d74-9229-fc49-e970-04d96ee33584,Customer Churn Prediction Analysis,Global Ops Legacy,[],Customer churn analysis helps us identify the likelihood of active Customerchurning.,952979,https://us-east-1.online.tableau.com/#/site/globalizationpartners/workbooks/952979/views,https://us-east-1.online.tableau.com/vizportal/api/rest/v1/workbooks/952979/thumbnail
00ef9c53-fa36-d9b4-c345-b337d32d1dab,CFO Landing Page,CFO & CEO Dashboards,[],,1036635,https://us-east-1.online.tableau.com/#/site/globalizationpartners/workbooks/1036635/views,https://us-east-1.online.tableau.com/vizportal/api/rest/v1/workbooks/1036635/thumbnail
01bedd2d-9d21-f11f-2f81-f9b62cf01d6d,History of Changes Table,Benefits Reporting,[],This dashboard shows the 'History of Changes Table' within the Benefits tab within a Professional.,937507,https://us-east-1.online.tableau.com/#/site/globalizationpartners/workbooks/937507/views,https://us-east-1.online.tableau.com/vizportal/api/rest/v1/workbooks/937507/thumbnail
0360819b-c64a-7651-be42-46ca920f022c,CPQ Master Agreements QoQ,Sanbox - Val,[],CPQ High level Metrics,981595,https://us-east-1.online.tableau.com/#/site/globalizationpartners/workbooks/981595/views,https://us-east-1.online.tableau.com/vizportal/api/rest/v1/workbooks/981595/thumbnail
03dfd105-98b9-cc64-bbf0-b2c887b96759,Polaris - Access Views Tracker,Sandbox,[],,1081525,https://us-east-1.online.tableau.com/#/site/globalizationpartners/workbooks/1081525/views,https://us-east-1.online.tableau.com/vizportal/api/rest/v1/workbooks/1081525/thumbnail
04f20fbb-2dd9-7604-429a-e8350567266c,Professional Growth Analysis,CFO & CEO Dashboards,[],,1064377,https://us-east-1.online.tableau.com/#/site/globalizationpartners/workbooks/1064377/views,https://us-east-1.online.tableau.com/vizportal/api/rest/v1/workbooks/1064377/thumbnail
0532748c-a46b-493b-cd85-a248116cd67e,GP Persons,Global Ops Legacy,[],"This dashboard contains all the information related to a GP Person:  name, email, last login date, is enabled, is no longer with firm and their roles",983680,https://us-east-1.online.tableau.com/#/site/globalizationpartners/workbooks/983680/views,https://us-east-1.online.tableau.com/vizportal/api/rest/v1/workbooks/983680/thumbnail
05492d65-248f-50e4-85d6-16d983f6b5a3,Lessonly,People Analytics,[],Completion Rate for Global Ops Learners,1029017,https://us-east-1.online.tableau.com/#/site/globalizationpartners/workbooks/1029017/views,https://us-east-1.online.tableau.com/vizportal/api/rest/v1/workbooks/1029017/thumbnail
07cb6268-b5f7-cc61-20be-98545e1c8ec1,Brand Tracker,Sandbox,[],,1013902,https://us-east-1.online.tableau.com/#/site/globalizationpartners/workbooks/1013902/views,https://us-east-1.online.tableau.com/vizportal/api/rest/v1/workbooks/1013902/thumbnail
